"CommunityCARE Home Hospice","https://www.volunteermatch.org/search/org36748","TORONTO, ONTARIO, CA"
"Circle of Care","https://www.volunteermatch.org/search/org1235011","TORONTO, ON, CA"
"WoodGreen","https://www.volunteermatch.org/search/org23609","TORONTO, ON, CA"
"The Reclamation Project","https://www.volunteermatch.org/search/org1187616","TORONTO, ONTARIO, CA"
"Project Hope (Humanitarian Opportunities for Peace and Education)","https://www.volunteermatch.org/search/org38853","TORONTO, ONTARIO, PS"
"Canadian Film Centre","https://www.volunteermatch.org/search/org1221646","NORTH YORK, ONTARIO, CA"
"Royal City Soccer Club","https://www.volunteermatch.org/search/org1191267","BURLINGTON, ONTARIO, CA"
"Adult Disabled Downhill Skiing","https://www.volunteermatch.org/search/org1204163","TORONTO, ON, CA"
"DiverseMinds.co","https://www.volunteermatch.org/search/org1212139","TORONTO, ONTARIO, CA"
"The Darling Home for Kids","https://www.volunteermatch.org/search/org1137419","MILTON, ONTARIO, CA"
"Reena Foundation","https://www.volunteermatch.org/search/org42325","THORNHILL, ONTARIO, CA"
"Canadian Volunteer Emergency Response Team","https://www.volunteermatch.org/search/org20787","NEW WESTMINSTER, BR, CA"
"The Speech and Stuttering Institute","https://www.volunteermatch.org/search/org1221491","NORTH YORK, ON, CA"
"Indigo Girls Group","https://www.volunteermatch.org/search/org1186499","TORONTO, ON, CA"
"Pawsitive Sanctuary","https://www.volunteermatch.org/search/org1191048","TORONTO, ON, CA"
"HackerNest","https://www.volunteermatch.org/search/org920317","TORONTO, ONTARIO, CA"
"Cards for Courage","https://www.volunteermatch.org/search/org1185347","TORONTO, ON, CA"
"J and R Enterprises","https://www.volunteermatch.org/search/org13063","THORNHILL, ON, CA"
"East York Canada Day Committee","https://www.volunteermatch.org/search/org1235624","EAST YORK, ON, CA"
"Centre for Diverse Learners","https://www.volunteermatch.org/search/org1133319","BURLINGTON, ONTARIO, CA"
"Aga Khan Museum","https://www.volunteermatch.org/search/org1146114","TORONTO, ON, CA"
"StoryMobs","https://www.volunteermatch.org/search/org702236","TORONTO, ONTARIO, CA"
"Finer Future Foundation","https://www.volunteermatch.org/search/org1236883","TORONTO, ONTARIO, CA"
"Clinetic Health and Wellness","https://www.volunteermatch.org/search/org1192026","NORTH YORK, ONTARIO, CA"
"Genius Presence","https://www.volunteermatch.org/search/org1204335","TORONTO, ONTARIO, CA"
"Markham Speed Skating Inc.","https://www.volunteermatch.org/search/org1231941","MARKHAM, ONTARIO, CA"
"Let'sStopAIDS","https://www.volunteermatch.org/search/org705376","TORONTO, ONTARIO, CA"
"Action of Solidarity for Scientific Knowledge and Research","https://www.volunteermatch.org/search/org47376","OAKVILLE, ONTARIO, CA"
"Local Leaders Global Feeders","https://www.volunteermatch.org/search/org606817","TORONTO, ONTARIO, CA"
"Legion Experience Museum","https://www.volunteermatch.org/search/org1222310","TORONTO, ONTARIO, CA"
"Caribbean People Masses Unity Committee CPMUC","https://www.volunteermatch.org/search/org43282","TORONTO, ON, CA"
"Fixt Point Arts and Media","https://www.volunteermatch.org/search/org1226752","TORONTO, ON, CA"
"Discover Colours 4 Youth","https://www.volunteermatch.org/search/org8452","TORONTO, ON, CA"
"StraytoPlay","https://www.volunteermatch.org/search/org1184154","TORONTO, ON, CA"
"Downsview Services to Seniors, Inc.","https://www.volunteermatch.org/search/org35553","TORONTO, ONTARIO, CA"
"INTEGIRLS Toronto","https://www.volunteermatch.org/search/org1227737","OAKVILLE, ONTARIO, CA"
"Skills for Change","https://www.volunteermatch.org/search/org656560","TORONTO, , CA"
"Science Bridges","https://www.volunteermatch.org/search/org1245266","TORONTO, ONTARIO, CA"
"Fantasticanta Playhouse","https://www.volunteermatch.org/search/org1222414","TORONTO, ONTARIO, CA"
"StepStones for Youth","https://www.volunteermatch.org/search/org1072882","TORONTO, ON, CA"
"Muhtadi International Drumming","https://www.volunteermatch.org/search/org555293","TORONTO, ONTARIO, CA"
"Vaughan International Film Festival","https://www.volunteermatch.org/search/org1240051","VAUGHAN, ONTARIO, CA"
"Kensington Health","https://www.volunteermatch.org/search/org1117295","TORONTO, ONTARIO, CA"
"Project Northern Lights","https://www.volunteermatch.org/search/org1186809","TORONTO, ON, CA"
"Project Orbis International Inc","https://www.volunteermatch.org/search/org1245728","TORONTO, ON, CA"
"Chinatown BIA","https://www.volunteermatch.org/search/org1211555","TORONTO, ONTARIO, CA"
"Sierra Club of Canada, Eastern Canada Chapter","https://www.volunteermatch.org/search/org35769","TORONTO, ONTARIO, CA"
"Haven Safe Technology Corporation","https://www.volunteermatch.org/search/org1213832","TORONTO, ONTARIO, CA"
"Cohere For AI","https://www.volunteermatch.org/search/org1238610","TORONTO, ON, CA"
"The Fringe of Toronto Theatre Festival","https://www.volunteermatch.org/search/org47396","TORONTO, ONTARIO, CA"
"The Olive Branch of Hope Breast Cancer Support Services","https://www.volunteermatch.org/search/org1108498","TORONTO, ON, CA"
"Music Africa of Canada Inc.","https://www.volunteermatch.org/search/org1114737","TORONTO, ON, CA"
"Childhood Cancer Canada","https://www.volunteermatch.org/search/org579566","TORONTO, ON, CA"
"kids.now","https://www.volunteermatch.org/search/org53345","TORONTO, ONTARIO, CA"
"Instrumentors","https://www.volunteermatch.org/search/org1235679","TORONTO, ONTARIO, CA"
"Silent Voice","https://www.volunteermatch.org/search/org675186","TORONTO, ONTARIO, CA"
"Society of Sharing: InnerCity Volunteers","https://www.volunteermatch.org/search/org1216745","TORONTO, ONTARIO, CA"
"Memory Haven Project","https://www.volunteermatch.org/search/org1237673","TORONTO, ON, CA"
"Art City in St. James Town","https://www.volunteermatch.org/search/org1180085","TORONTO, ON, CA"
"Saint James Town Community Corner","https://www.volunteermatch.org/search/org682197","TORONTO, ONTARIO, CA"
"Egale","https://www.volunteermatch.org/search/org801224","TORONTO, , CA"
"Ask4care Support Services Inc.","https://www.volunteermatch.org/search/org1161531","TORONTO, ONTARIO, CA"
"Pride Toronto","https://www.volunteermatch.org/search/org1177261","TORONTO, ONTARIO, CA"
"Ethical Traveler","https://www.volunteermatch.org/search/org30200","BERKELEY, CA"
"Toronto Council on Aging","https://www.volunteermatch.org/search/org1243422","TORONTO, ONTARIO, CA"
"Parachute- Leaders in Injury Prevention","https://www.volunteermatch.org/search/org633508","TORONTO, ONTARIO, CA"
"Kids.Now Canada","https://www.volunteermatch.org/search/org1217334","TORONTO, ONTARIO, CA"
"YMCA","https://www.volunteermatch.org/search/org1196508","TORONTO, ON, CA"
"Human Volunteering Network","https://www.volunteermatch.org/search/org643652","TORONTO, ONTARIO, CA"
"Engineers Of Tomorrow","https://www.volunteermatch.org/search/org653481","TORONTO, , CA"
"The Future Of Youths","https://www.volunteermatch.org/search/org1205589","TORONTO, ONTARIO, CA"
"Habitat for Humanity Halton-Mississauga","https://www.volunteermatch.org/search/org961218","BURLINGTON, ONTARIO, CA"
"Single Seniors for Tax Fairness","https://www.volunteermatch.org/search/org1233096","TORONTO, ONTARIO, CA"
"Matrix Academy","https://www.volunteermatch.org/search/org1160223","TORONTO, ONTARIO, CA"
"ASO Ontario","https://www.volunteermatch.org/search/org1200791","TORONTO, ONTARIO, CA"
"Independant Movement for the Parliamentary Acceptance of the Confederation of Toronto","https://www.volunteermatch.org/search/org18992","TORONTO, ON, CA"
"Shining Lighte Youth Charity","https://www.volunteermatch.org/search/org1238151","MISSISSAUGA, ONTARIO, CA"
"Sending Sunshine","https://www.volunteermatch.org/search/org1201240","MISSISSAUGA, ONTARIO, CA"
"Canadian Association for Girls in Science","https://www.volunteermatch.org/search/org1231404","MISSISSAUGA, ONTARIO, CA"
"The Shoebox Project for Women","https://www.volunteermatch.org/search/org1247000","TORONTO, ON, CA"
"ACCESS Community Capital Fund","https://www.volunteermatch.org/search/org1230905","TORONTO, ON, CA"
"Evidentia Institute","https://www.volunteermatch.org/search/org1247597","TORONTO, ONTARIO, CA"
"Take a Pain Check","https://www.volunteermatch.org/search/org1233417","TORONTO, ONTARIO, CA"
"New Narratives Community","https://www.volunteermatch.org/search/org1246192","TORONTO, ONTARIO, CA"
"STEM Montessori Academy of Canada","https://www.volunteermatch.org/search/org1212439","TORONTO, ON, CA"
"Certified Listeners Society","https://www.volunteermatch.org/search/org1190028","BURLINGTON, ONTARIO, CA"
"Street Haven at the Crossroads","https://www.volunteermatch.org/search/org1246608","TORONTO, ONTARIO, CA"
"Shelter Movers","https://www.volunteermatch.org/search/org1236491","TORONTO, ON, CA"
"Carelinks Organization","https://www.volunteermatch.org/search/org1246820","TORONTO, ONTARIO, CA"
"Dixon Hall","https://www.volunteermatch.org/search/org1248970","TORONTO, ON, CA"
"Parkinson Canada","https://www.volunteermatch.org/search/org1145155","TORONTO, ONTARIO, CA"
"Osteoporosis Canada","https://www.volunteermatch.org/search/org1059779","TORONTO, ON, CA"
"Girl Guides of Canada - Guides du Canada","https://www.volunteermatch.org/search/org1202738","NORTH YORK, ONTARIO, CA"
"Harmony Movement","https://www.volunteermatch.org/search/org1246376","TORONTO, ONTARIO, CA"
"Youth Bridge Canada","https://www.volunteermatch.org/search/org1246096","NORTH YORK, ONTARIO, CA"
"Scarborough Health Network Foundation","https://www.volunteermatch.org/search/org1219418","SCARBOROUGH, ONTARIO, CA"
"Desperate House Cat Rescue Society","https://www.volunteermatch.org/search/org1141317","MISSISSAUGA, ONTARIO, CA"
"Start2Finish Canada","https://www.volunteermatch.org/search/org1237750","MISSISSAUGA, ONTARIO, CA"
"MiVolunteer (Mississauga and GTA Relief Initiative Inc.)","https://www.volunteermatch.org/search/org1232124","MISSISSAUGA, ON, CA"
"The Community Foundation of Mississauga","https://www.volunteermatch.org/search/org1183901","MISSISSAUGA, ON, CA"
"Community & Family Services Mississauga","https://www.volunteermatch.org/search/org615388","MISSISSAUGA, ONTARIO, CA"
